,name,proba (%),box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
0,Nikola Jokic,98.4,8.6,6.5,15.0,7.7,4.7,12.4,8.8,6.5,15.3,12.4
1,Fred VanVleet,62.3,5.0,1.4,6.5,4.5,4.7,9.2,5.2,2.2,7.4,8.1
2,Rudy Gobert,38.800000000000004,0.6,7.7,8.3,2.4,4.4,6.8,1.0,7.5,8.5,7.8
3,Stephen Curry,66.8,5.4,0.1,5.6,8.0,3.8,11.8,6.3,0.9,7.1,7.7
4,Giannis Antetokounmpo,53.0,4.8,2.5,7.4,3.0,2.5,5.5,4.7,2.7,7.4,6.7
5,Jayson Tatum,28.1,3.0,1.3,4.3,3.4,2.7,6.0,3.3,1.6,4.9,6.3
6,Joel Embiid,43.8,4.8,2.1,6.9,2.2,2.6,4.7,4.5,2.3,6.8,5.6
7,LeBron James,41.0,5.2,1.0,6.2,5.1,-3.9,1.1,5.5,0.0,5.5,5.4
8,Trae Young,47.5,7.3,-3.0,4.3,7.3,-4.9,2.5,7.7,-3.6,4.1,5.2
9,Jarrett Allen,12.1,0.3,4.2,4.5,1.7,2.1,3.8,0.6,4.0,4.6,4.9
10,Domantas Sabonis,13.0,2.4,1.1,3.4,-0.1,2.5,2.3,2.0,1.4,3.4,4.9
11,Mike Conley,30.599999999999998,4.4,0.2,4.6,3.1,3.0,6.1,4.3,0.8,5.1,4.8
12,Darius Garland,20.5,3.2,-1.1,2.1,5.0,4.0,9.0,3.8,-0.2,3.6,4.6
13,Dejounte Murray,18.099999999999998,2.9,0.2,3.1,5.0,-1.0,4.0,3.5,0.0,3.5,4.6
14,Kevin Durant,21.6,4.8,-1.1,3.8,0.7,2.0,2.7,4.2,-0.5,3.7,4.4
15,Jrue Holiday,19.900000000000002,2.0,2.1,4.1,5.8,0.1,5.9,2.9,1.8,4.6,4.4
16,D'Angelo Russell,23.1,3.3,0.0,3.2,4.1,4.3,8.4,3.7,0.9,4.5,4.4
17,Derrick White,9.1,1.7,3.0,4.8,-4.8,4.0,-0.8,0.5,3.5,3.9,4.4
18,Kyle Lowry,11.700000000000001,2.1,1.5,3.6,0.2,2.0,2.2,1.8,1.7,3.5,4.3
19,Chris Paul,19.400000000000002,4.0,-1.5,2.4,6.0,-1.9,4.1,4.6,-1.8,2.8,4.1
20,Alex Caruso,23.400000000000002,1.9,5.1,7.1,-0.3,6.5,6.2,1.6,5.7,7.3,4.0
21,DeMar DeRozan,15.5,3.6,-2.7,0.9,3.8,5.1,8.9,3.8,-1.3,2.5,4.0
22,Donovan Mitchell,22.2,4.8,-2.1,2.7,6.0,-2.4,3.6,5.2,-2.3,2.9,3.9
23,Miles Bridges,8.0,0.8,0.2,0.9,6.3,-1.1,5.2,1.9,0.0,1.9,3.8
24,Jalen Brunson,11.4,2.4,0.0,2.4,4.0,-1.6,2.4,2.9,-0.4,2.5,3.8
25,James Harden,14.000000000000002,4.2,-1.5,2.7,2.9,-3.5,-0.6,4.1,-2.0,2.1,3.8
26,Mikal Bridges,6.3,-0.2,1.2,1.0,5.2,0.7,5.8,0.9,1.1,2.0,3.7
27,Jusuf Nurkic,5.800000000000001,-1.0,3.9,3.0,1.0,3.2,4.2,-0.6,4.1,3.5,3.7
28,Jakob Poeltl,10.100000000000001,0.1,3.0,3.2,6.7,-2.6,4.1,1.5,2.1,3.6,3.7
29,Jonas Valanciunas,6.5,0.3,2.3,2.5,1.3,1.3,2.5,0.5,2.2,2.8,3.7
30,Jarred Vanderbilt,12.4,0.3,2.7,3.0,6.8,1.0,7.8,1.7,2.5,4.1,3.7
31,Tyrese Haliburton,9.1,3.1,-1.0,2.1,0.1,0.4,0.5,2.7,-0.7,1.9,3.6
32,Devin Booker,11.0,2.6,0.1,2.7,2.6,-0.3,2.4,2.7,-0.1,2.6,3.5
33,Alec Burks,8.1,1.3,1.0,2.3,1.8,1.7,3.5,1.5,1.2,2.7,3.5
34,Anthony Edwards,8.4,1.4,-0.1,1.3,4.4,0.4,4.8,2.1,0.0,2.1,3.5
35,Terry Rozier,10.5,3.2,0.1,3.3,-0.8,1.0,0.1,2.5,0.3,2.8,3.5
36,Marcus Smart,6.3,0.1,1.5,1.5,3.0,2.3,5.3,0.7,1.7,2.4,3.5
37,Patrick Beverley,20.5,2.9,2.4,5.4,3.2,0.6,3.8,3.1,2.2,5.3,3.4
38,John Collins,8.4,1.9,0.1,2.0,1.8,1.5,3.4,1.9,0.5,2.4,3.4
39,Ja Morant,17.8,4.7,-0.9,3.7,3.7,-4.8,-1.2,4.7,-1.8,2.9,3.4
40,Gary Payton II,20.9,2.3,4.2,6.5,1.3,3.3,4.6,2.2,4.1,6.4,3.4
41,Steven Adams,6.9,0.0,2.5,2.5,4.3,-0.8,3.5,0.8,2.0,2.8,3.3
42,LaMelo Ball,8.4,2.7,0.3,2.9,0.6,-2.1,-1.5,2.3,-0.2,2.2,3.3
43,Lonzo Ball,5.7,0.9,2.2,3.1,-1.2,0.5,-0.7,0.5,2.0,2.5,3.3
44,Desmond Bane,7.8,2.0,0.3,2.3,1.8,-1.0,0.8,2.0,0.1,2.1,3.3
45,Garrison Mathews,16.900000000000002,1.7,3.2,4.9,6.0,-2.7,3.4,2.7,2.3,4.9,3.3
46,Jimmy Butler,16.0,4.4,0.6,5.0,-0.6,-1.4,-2.0,3.6,0.2,3.8,3.2
47,Kevin Love,19.6,4.3,1.7,6.0,0.0,-1.3,-1.3,3.6,1.1,4.8,3.2
48,Royce O'Neale,4.9,0.5,2.2,2.8,1.5,-4.6,-3.2,0.8,0.9,1.7,3.2
49,Ricky Rubio,7.3999999999999995,0.6,2.5,3.0,-0.1,5.3,5.2,0.4,3.1,3.6,3.2
50,Luka Doncic,8.9,3.5,0.4,3.9,-3.0,-0.4,-3.4,2.4,0.2,2.6,3.1
51,Draymond Green,4.7,-0.9,4.1,3.2,0.1,2.1,2.3,-0.7,3.8,3.1,3.1
52,Andrew Wiggins,4.5,0.4,1.7,2.1,-0.2,0.5,0.3,0.3,1.5,1.8,3.1
53,Cameron Johnson,6.6000000000000005,1.7,1.2,3.0,-2.3,3.6,1.3,1.0,1.7,2.7,3.0
54,Cody Martin,6.2,0.8,1.8,2.6,1.6,-0.5,1.2,1.0,1.5,2.5,3.0
55,Immanuel Quickley,9.9,1.2,0.2,1.4,3.4,7.3,10.7,1.7,1.7,3.5,3.0
56,Bradley Beal,5.0,1.9,-0.5,1.4,-2.1,2.9,0.9,1.2,0.2,1.4,2.9
57,Clint Capela,6.4,0.0,1.8,1.8,5.7,-1.6,4.1,1.1,1.3,2.4,2.9
58,Jae Crowder,4.8,-0.4,2.9,2.5,1.2,1.1,2.4,-0.1,2.6,2.5,2.9
59,Herbert Jones,3.5000000000000004,-1.2,2.1,0.9,1.6,3.4,5.0,-0.7,2.6,1.9,2.9
60,Otto Porter Jr.,9.9,1.5,2.1,3.6,1.2,3.2,4.4,1.5,2.3,3.9,2.9
61,Derrick Rose,21.9,3.1,2.9,5.9,0.8,5.1,5.9,2.8,3.5,6.3,2.9
62,Dorian Finney-Smith,3.1,-1.1,2.0,0.9,3.0,-1.7,1.3,-0.3,1.3,1.0,2.8
63,Paul George,5.6000000000000005,0.7,2.4,3.1,-1.7,3.4,1.7,0.3,2.7,3.0,2.8
64,Patty Mills,7.3999999999999995,1.4,-2.0,-0.6,7.6,0.4,8.1,2.7,-1.6,1.2,2.8
65,Aaron Gordon,5.0,-0.3,0.3,0.0,7.9,-2.4,5.5,1.4,-0.2,1.2,2.7
66,Montrezl Harrell,9.8,2.4,-0.3,2.1,2.8,1.6,4.4,2.7,0.1,2.8,2.7
67,Jaren Jackson Jr.,3.0,-1.1,1.6,0.5,1.7,2.4,4.2,-0.6,1.8,1.2,2.7
68,Caleb Martin,6.7,0.0,3.4,3.4,1.8,1.7,3.6,0.4,3.2,3.6,2.7
69,Jaylen Brown,4.7,1.4,-0.1,1.3,-1.1,2.9,1.8,1.0,0.5,1.5,2.6
70,Wendell Carter Jr.,3.5000000000000004,-0.8,1.7,0.9,1.5,2.5,4.0,-0.3,2.0,1.7,2.6
71,Shai Gilgeous-Alexander,4.7,1.4,-0.8,0.6,2.1,-1.3,0.8,1.8,-0.9,0.9,2.6
72,Evan Mobley,1.7999999999999998,-1.7,3.3,1.6,-3.9,3.5,-0.5,-2.3,3.4,1.1,2.6
73,Bobby Portis,4.3999999999999995,0.2,1.4,1.6,1.3,1.0,2.3,0.4,1.3,1.8,2.6
74,P.J. Tucker,3.9,-0.2,1.6,1.4,1.2,1.4,2.7,0.0,1.7,1.7,2.6
75,Kenrich Williams,6.2,-0.3,2.5,2.2,0.1,9.1,9.2,-0.1,4.0,3.9,2.6
76,Deni Avdija,2.7,-1.4,3.3,1.9,-0.3,1.3,1.0,-1.3,3.1,1.9,2.5
77,Josh Hart,5.4,1.3,0.2,1.5,2.9,-2.5,0.4,1.7,-0.3,1.4,2.5
78,Damian Lillard,11.0,4.2,-2.3,1.9,2.8,-2.1,0.7,4.2,-2.4,1.8,2.5
79,Khris Middleton,6.2,2.6,-1.1,1.5,0.2,0.6,0.8,2.2,-0.9,1.4,2.5
80,Kristaps Porzingis,6.3,1.6,1.3,2.9,-0.2,0.2,0.0,1.4,1.1,2.4,2.5
81,Pat Connaughton,3.5000000000000004,1.1,1.4,2.5,-1.3,-4.1,-5.4,0.6,0.3,0.9,2.4
82,Seth Curry,4.6,1.4,-1.1,0.4,2.9,-1.4,1.5,1.8,-1.2,0.6,2.4
83,Chris Duarte,3.8,-0.2,0.7,0.5,2.1,2.6,4.7,0.3,1.2,1.4,2.4
84,Al Horford,2.3,-1.2,3.4,2.1,-1.8,-0.2,-1.9,-1.4,2.8,1.4,2.4
85,Lauri Markkanen,5.800000000000001,0.7,0.2,0.9,6.2,-2.6,3.6,1.9,-0.4,1.4,2.4
86,CJ McCollum,7.1,2.1,0.0,2.1,2.3,-1.4,0.9,2.3,-0.2,2.0,2.4
87,Karl-Anthony Towns,5.7,1.5,-1.2,0.3,5.8,-3.4,2.4,2.5,-1.8,0.7,2.4
88,Franz Wagner,2.9000000000000004,-0.4,0.1,-0.3,3.2,-1.0,2.3,0.4,-0.1,0.3,2.4
89,Anthony Davis,3.9,1.0,1.9,2.8,-3.1,0.6,-2.5,0.2,1.7,1.9,2.3
90,Blake Griffin,4.1000000000000005,-1.5,6.8,5.3,-1.5,-0.2,-1.7,-1.6,5.7,4.1,2.3
91,Buddy Hield,3.5000000000000004,1.8,-0.8,1.0,-1.5,-0.9,-2.4,1.2,-0.8,0.4,2.3
92,Zach LaVine,6.3,3.3,-2.0,1.3,1.2,-2.7,-1.5,3.0,-2.3,0.7,2.3
93,Robert Williams III,3.5999999999999996,-0.1,1.2,1.1,1.3,1.5,2.8,0.1,1.3,1.4,2.3
94,LaMarcus Aldridge,6.5,0.5,2.3,2.8,3.5,-0.6,2.9,1.1,1.8,2.9,2.2
95,Malcolm Brogdon,6.9,2.6,-0.7,1.9,0.4,1.3,1.8,2.3,-0.3,2.0,2.2
96,George Hill,3.8,-0.9,0.0,-0.9,3.6,8.3,11.8,0.0,1.7,1.7,2.2
97,De'Anthony Melton,4.0,0.1,1.7,1.8,0.6,1.6,2.2,0.2,1.8,2.0,2.2
98,Mitchell Robinson,4.0,0.5,1.7,2.2,1.8,-4.2,-2.4,0.8,0.6,1.4,2.2
99,Deandre Ayton,3.3000000000000003,-0.5,4.0,3.4,-0.3,-3.1,-3.3,-0.6,2.7,2.1,2.1
100,Jordan Clarkson,4.3,1.8,-1.7,0.2,0.5,2.7,3.2,1.5,-0.9,0.7,2.1
101,Tyler Herro,5.5,2.5,-1.7,0.7,2.9,-2.9,0.0,2.7,-2.1,0.6,2.1
102,Pascal Siakam,3.3000000000000003,0.0,0.1,0.1,2.2,1.4,3.6,0.5,0.4,0.9,2.1
103,JaVale McGee,5.7,0.9,2.8,3.6,-0.1,0.6,0.5,0.6,2.4,3.0,2.0
104,Malik Monk,4.2,1.0,-0.9,0.1,2.9,0.6,3.5,1.4,-0.6,0.8,2.0
105,Max Strus,7.3,2.5,-1.2,1.3,2.7,1.0,3.7,2.7,-0.9,1.8,2.0
106,Matisse Thybulle,1.7999999999999998,-2.6,4.8,2.2,-2.1,2.6,0.5,-2.6,4.6,2.0,2.0
107,Grayson Allen,3.0,0.7,-0.3,0.4,0.0,0.9,0.9,0.6,-0.1,0.5,1.9
108,Scottie Barnes,2.4,0.5,0.4,1.0,-1.1,-2.1,-3.1,0.2,-0.1,0.2,1.9
109,Monte Morris,3.5000000000000004,0.0,-1.6,-1.6,6.4,1.0,7.4,1.3,-1.2,0.2,1.9
110,Kelly Oubre Jr.,3.4000000000000004,1.4,-1.0,0.4,0.5,-0.7,-0.2,1.2,-0.9,0.3,1.9
111,Harrison Barnes,2.9000000000000004,1.7,-0.6,1.1,0.4,-6.9,-6.4,1.6,-1.9,-0.3,1.8
112,Nicolas Batum,2.4,-0.7,3.2,2.5,-4.5,4.0,-0.5,-1.5,3.6,2.0,1.8
113,Robert Covington,1.4000000000000001,-1.9,2.0,0.1,-0.9,0.8,0.0,-1.8,1.9,0.1,1.8
114,Caris LeVert,5.800000000000001,2.1,-1.4,0.6,4.3,-2.3,2.0,2.7,-1.7,1.0,1.8
115,Kevon Looney,2.6,-1.5,2.3,0.8,4.3,-2.2,2.1,-0.4,1.4,1.0,1.8
116,Myles Turner,1.7000000000000002,-1.2,1.3,0.0,0.4,-0.3,0.1,-1.0,1.0,0.0,1.8
117,Hamidou Diallo,2.4,-0.5,0.9,0.4,-0.6,3.2,2.5,-0.4,1.4,1.0,1.7
118,Andre Drummond,1.9,-2.3,3.8,1.6,0.0,1.4,1.4,-1.9,3.6,1.6,1.7
119,Tim Hardaway Jr.,2.5,0.6,-0.2,0.4,0.8,-2.7,-2.0,0.7,-0.8,-0.1,1.7
120,Reggie Jackson,1.7999999999999998,-1.0,0.3,-0.7,1.7,-0.5,1.2,-0.4,0.1,-0.3,1.7
121,Keldon Johnson,1.9,-0.2,-0.5,-0.7,-0.1,1.4,1.3,-0.2,-0.1,-0.3,1.7
122,Anfernee Simons,4.7,2.1,-2.9,-0.8,3.8,0.4,4.2,2.6,-2.4,0.2,1.7
123,Gabe Vincent,2.5,-0.3,1.5,1.2,-1.6,2.5,0.9,-0.6,1.7,1.1,1.7
124,Nikola Vucevic,1.3,-2.2,2.5,0.3,0.2,-1.2,-1.1,-1.9,1.9,0.0,1.7
125,DeAndre' Bembry,2.6,-0.5,1.8,1.3,0.5,0.1,0.6,-0.4,1.6,1.2,1.6
126,Brandon Clarke,7.3,2.2,-0.5,1.7,2.8,1.5,4.3,2.5,-0.2,2.3,1.6
127,Spencer Dinwiddie,3.1,2.0,-2.3,-0.3,-1.3,2.0,0.7,1.4,-1.5,-0.1,1.6
128,Danny Green,3.0,-0.9,2.1,1.2,0.8,3.5,4.3,-0.6,2.5,1.9,1.6
